Depth_km,Density_MgKm3,Vp_km_s,Vs_km_s
0.0,1.02,1.45,0.0
3.0,1.02,1.45,0.0
3.0,2.0,1.65,1.0
3.3,2.0,1.65,1.0
3.3,2.6,5.8,3.2
10.0,2.6,5.8,3.2
10.0,2.92,6.8,3.9
18.0,2.92,6.8,3.9
18.0,3.641,8.0355,4.4839
43.0,3.5801,8.0379,4.4856
80.0,3.502,8.04,4.48
80.0,3.502,8.045,4.49
120.0,3.4268,8.0505,4.5
120.0,3.4268,8.0505,4.5
165.0,3.3711,8.175,4.509
210.0,3.3243,8.3007,4.5184
210.0,3.3243,8.3007,4.5184
260.0,3.3663,8.4822,4.6094
310.0,3.411,8.665,4.6964
360.0,3.4577,8.8476,4.7832
410.0,3.5068,9.0302,4.8702
410.0,3.9317,9.3601,5.0806
460.0,3.9273,9.528,5.1864
510.0,3.9233,9.6962,5.2922
560.0,3.9218,9.864,5.3989
610.0,3.9206,10.032,5.5047
660.0,3.9201,10.2,5.6104
660.0,4.2387,10.7909,5.9607
710.0,4.2986,10.9222,6.0898
760.0,4.3565,11.0553,6.21
809.5,4.4118,11.1355,6.2424
859.0,4.465,11.2228,6.2799
908.5,4.5162,11.3068,6.3164
958.0,4.5654,11.3897,6.3519
1007.5,4.5926,11.4704,6.386
1057.0,4.6198,11.5493,6.4182
1106.5,4.6467,11.6265,6.4514
1156.0,4.6735,11.702,6.4822
1205.5,4.7001,11.7768,6.5131
1255.0,4.7266,11.8491,6.5431
1304.5,4.7528,11.9208,6.5728
1354.0,4.779,11.9891,6.6009
1403.5,4.805,12.0571,6.6285
1453.0,4.8307,12.1247,6.6554
1502.5,4.8562,12.1912,6.6813
1552.0,4.8817,12.2558,6.707
1601.5,4.9069,12.3181,6.7323
1651.0,4.9321,12.3813,6.7579
1700.5,4.957,12.4427,6.782
1750.0,4.9817,12.503,6.8056
1799.5,5.0062,12.5638,6.8289
1849.0,5.0306,12.6226,6.8517
1898.5,5.0548,12.6807,6.8743
1948.0,5.0789,12.7384,6.8972
1997.5,5.1027,12.7956,6.9194
2047.0,5.1264,12.8524,6.9416
2096.5,5.1499,12.9093,6.9625
2146.0,5.1732,12.9663,6.9852
2195.5,5.1963,13.0226,7.0069
2245.0,5.2192,13.0786,7.0286
2294.5,5.242,13.1337,7.0504
2344.0,5.2646,13.1895,7.0722
2393.5,5.287,13.2465,7.0932
2443.0,5.3092,13.3017,7.1144
2492.5,5.3313,13.3584,7.1368
2542.0,5.3531,13.4156,7.1584
2591.5,5.3748,13.4741,7.1804
2640.0,5.3962,13.5311,7.2031
2690.0,5.4176,13.5899,7.2253
2740.0,5.4387,13.6498,7.2485
2740.0,5.6934,13.6498,7.2485
2789.67,5.7196,13.6533,7.2593
2839.33,5.7458,13.657,7.27
2891.5,5.7721,13.6601,7.2817
2891.5,9.9145,8.0,0.0
2939.33,9.9942,8.0382,0.0
2989.66,10.0722,8.1283,0.0
3039.99,10.1485,8.2213,0.0
3090.32,10.2233,8.3122,0.0
3140.66,10.2964,8.4001,0.0
3190.99,10.3679,8.4861,0.0
3241.32,10.4378,8.5692,0.0
3291.65,10.5062,8.6496,0.0
3341.98,10.5731,8.7283,0.0
3392.31,10.6385,8.8036,0.0
3442.64,10.7023,8.8761,0.0
3492.97,10.7647,8.9461,0.0
3543.3,10.8257,9.0138,0.0
3593.64,10.8852,9.0792,0.0
3643.97,10.9434,9.1426,0.0
3694.3,11.0001,9.2042,0.0
3744.63,11.0555,9.2634,0.0
3794.96,11.1095,9.3205,0.0
3845.29,11.1623,9.376,0.0
3895.62,11.2137,9.4297,0.0
3945.95,11.2639,9.4814,0.0
3996.28,11.3127,9.5306,0.0
4046.62,11.3604,9.5777,0.0
4096.95,11.4069,9.6232,0.0
4147.28,11.4521,9.6673,0.0
4197.61,11.4962,9.71,0.0
4247.94,11.5391,9.7513,0.0
4298.27,11.5809,9.7914,0.0
4348.6,11.6216,9.8304,0.0
4398.93,11.6612,9.8682,0.0
4449.26,11.6998,9.9051,0.0
4499.6,11.7373,9.941,0.0
4549.93,11.7737,9.9761,0.0
4600.26,11.8092,10.0103,0.0
4650.59,11.8437,10.0439,0.0
4700.92,11.8772,10.0768,0.0
4751.25,11.9098,10.1095,0.0
4801.58,11.9414,10.1415,0.0
4851.91,11.9722,10.1739,0.0
4902.24,12.0001,10.2049,0.0
4952.58,12.0311,10.2329,0.0
5002.91,12.0593,10.2565,0.0
5053.24,12.0867,10.2745,0.0
5103.57,12.1133,10.2854,0.0
5153.5,12.1391,10.289,0.0
5153.5,12.7037,11.0427,0.0
5204.61,12.7289,11.0585,3.5043
5255.32,12.753,11.0718,3.5187
5306.04,12.776,11.085,3.5314
5356.75,12.798,11.0983,3.5435
5407.46,12.8188,11.1166,3.5551
5458.17,12.8387,11.1316,3.5661
5508.89,12.8574,11.1457,3.5765
5559.6,12.8751,11.159,3.5864
5610.31,12.8917,11.1715,3.5957
5661.02,12.9072,11.1832,3.6044
5711.74,12.9217,11.1941,3.6126
5762.45,12.9351,11.2041,3.6202
5813.16,12.9474,11.2134,3.6272
5863.87,12.9586,11.2219,3.6337
5914.59,12.9688,11.2295,3.6396
5965.3,12.9779,11.2364,3.645
6016.01,12.9859,11.2424,3.6498
6066.72,12.9929,11.2477,3.654
6117.44,12.9988,11.2521,3.6577
6168.15,13.0036,11.2557,3.6608
6218.86,13.0074,11.2586,3.6633
6269.57,13.01,11.2606,3.6653
6320.29,13.0117,11.2618,3.6667
6371.0,13.0122,11.2622,3.6675
